"","CERTIFY","APPROVE","SPECCERT","WOULDYOU","RECERT","SUBDISC","COLLEGE","EMPLOY","WORKENV","WORKACT","YEARSMEM"
"1165",1,1,1,1,5,"BI","P","E","G","R",37
"1166",1,2,5,1,4,"CE","P","E","A","E",15
"1167",2,2,5,1,1,"BI","P","E","A","R",12
"1168",5,5,5,5,5,"BI","P","E","G","R",8
"1169",1,1,4,1,5,"BE","P","R","G","E",37
"1170",2,3,4,3,4,"BI","P","E","A","E",12
"1171",1,3,5,1,5,"GV","M","E","G","R",15
"1172",5,3,5,1,2,"CE","P","E","G","E",4
"1173",2,2,3,5,1,"BI","P","E","I","C",26
"1174",5,5,5,5,5,"SS","P","E","A","E",14
"1175",2,3,2,2,3,"SR","M","E","G","R",16
"1176",1,2,5,1,4,"EN","P","E","G","P",4
"1177",4,4,5,3,5,"BI","P","E","A","R",57
"1178",5,5,5,2,3,"BI","P","E","G","P",58
"1179",5,5,5,5,5,"BA","P","E","A","R",20
"1180",2,2,5,2,5,"PE","P","E","A","E",15
"1181",2,4,2,2,5,"BE","M","E","I","P",55
"1182",1,2,5,4,3,"BE","P","E","A","E",14
"1183",1,1,5,1,5,"BP","M","E","I","C",6
"1184",3,3,5,2,5,"PE","P","E","A","R",6
"1185",2,2,3,4,4,"","B","R","","",26
"1186",1,2,1,1,5,"BI","P","S","A","E",25
"1187",1,2,5,4,1,"PE","M","E","I","C",12
"1188",5,5,5,5,1,"SS","P","E","A","C",14
"1189",5,4,4,4,3,"CE","P","E","A","E",12
"1190",1,5,1,1,2,"QP","M","S","I","C",47
"1191",2,3,3,4,4,"BE","P","E","G","R",17
"1192",2,3,1,5,2,"CM","P","E","G","R",3
"1193",4,4,4,5,1,"BI","P","E","A","R",6
"1194",5,5,5,5,5,"PE","P","U","A","E",5
"1195",2,2,1,2,1,"QP","B","E","I","P",25
"1196",4,5,5,2,5,"GV","P","E","G","P",20
"1197",2,2,5,1,5,"BP","P","E","I","C",16
"1198",2,3,2,1,1,"QP","B","I","I","S",1
"1199",5,5,5,2,5,"GV","B","E","I","C",28
"1200",5,5,5,1,5,"SR","M","E","G","C",4
"1201",2,3,5,3,5,"BI","P","E","A","E",18
"1202",2,2,5,1,5,"BI","P","E","A","R",6
"1203",2,2,2,1,2,"QP","M","U","I","P",5
"1204",5,5,5,5,5,"","P","E","I","C",14
"1205",1,1,5,4,2,"BI","P","E","A","R",5
"1206",5,5,5,5,5,"","P","E","A","E",55
"1207",2,2,5,2,5,"","M","E","A","R",58
"1208",0,0,0,0,0,"BE","P","E","A","R",26
"1209",2,2,5,1,2,"CM","P","E","A","R",12
"1210",4,4,4,4,5,"BI","P","E","A","R",15
"1211",4,4,4,2,3,"BI","M","U","G","R",15
"1212",1,3,2,5,5,"BE","B","E","G","P",3
"1213",5,5,5,1,2,"EN","P","E","G","P",17
"1214",1,1,2,1,1,"PE","M","E","I","C",55
"1215",1,2,4,1,5,"BI","P","E","G","P",55
"1216",5,5,5,4,5,"BI","P","E","A","E",23
"1217",1,1,2,1,1,"BI","P","E","A","C",26
"1218",5,5,5,5,1,"SS","P","E","A","E",26
"1219",3,3,3,3,3,"CE","B","E","I","E",23
"1220",1,1,2,1,1,"QP","M","E","I","P",57
"1221",2,1,5,1,2,"BP","P","E","I","C",18
"1222",2,1,5,5,1,"SS","M","E","I","P",37
"1223",2,3,4,2,2,"BI","P","E","A","R",9
"1224",5,5,5,3,5,"BI","P","E","I","R",55
"1225",4,5,4,1,1,"SR","P","E","G","C",26
"1226",1,2,2,2,2,"CM","M","E","I","R",12
"1227",2,3,2,2,2,"QP","M","E","I","P",55
"1228",5,3,5,5,5,"QP","M","E","I","C",25
"1229",3,4,5,5,5,"CM","M","E","I","C",8
"1230",2,4,2,1,4,"SR","P","E","G","R",8
"1231",1,2,5,1,5,"CM","P","E","G","R",9
"1232",5,5,5,1,1,"BP","M","E","I","P",47
"1233",1,4,1,2,1,"QP","B","E","I","P",14
"1234",5,5,5,1,5,"BP","P","E","I","P",21
"1235",2,2,2,4,3,"CE","P","E","A","E",4
"1236",5,5,5,1,5,"CE","M","E","I","C",25
"1237",2,4,5,3,5,"","B","E","G","P",4
"1238",3,3,5,1,3,"SG","P","E","A","E",15
"1239",5,5,5,5,5,"BI","P","E","A","E",19
"1240",1,1,1,1,1,"SR","M","E","","R",25
"1241",2,2,5,4,1,"CE","P","E","A","E",12
"1242",2,1,2,1,5,"BP","B","I","A","S",14
"1243",1,1,5,1,1,"BI","P","E","A","E",20
"1244",4,4,4,1,3,"BI","P","E","A","R",3
"1245",5,5,5,2,2,"GV","P","E","G","R",22
"1246",5,4,5,1,5,"BI","P","S","A","C",4
"1247",5,5,5,1,1,"TH","M","E","G","S",14
"1248",3,2,5,1,2,"BI","M","U","","",55
"1249",1,0,1,1,5,"BP","P","E","I","C",10
"1250",5,5,5,5,1,"","P","E","A","E",14
"1251",2,4,5,2,3,"SS","P","E","I","P",10
"1252",2,2,2,5,5,"BE","M","E","I","P",5
"1253",5,5,5,5,5,"BI","P","E","A","P",37
"1254",1,1,2,5,5,"BI","P","E","G","R",20
"1255",2,3,4,2,4,"BA","P","E","A","E",31
"1256",1,2,5,1,2,"BI","P","E","G","R",17
"1257",2,2,3,2,1,"QP","M","E","I","P",10
"1258",1,1,3,1,4,"SR","P","E","I","R",15
"1259",4,4,4,3,3,"BA","P","E","A","E",57
"1260",5,4,5,5,4,"BE","M","E","I","C",26
"1261",5,5,1,1,1,"BE","P","E","A","E",4
"1262",3,3,5,3,2,"TH","P","I","A","S",25
"1263",5,5,5,5,1,"BE","P","R","A","E",31
"1264",5,5,5,5,5,"BE","P","E","A","E",16
"1265",5,5,5,5,5,"PE","P","E","A","E",32
"1266",3,3,2,3,2,"BE","M","E","I","C",47
"1267",5,5,5,5,3,"BE","P","E","A","E",20
"1268",1,1,2,1,1,"BE","M","E","I","C",4
"1269",1,4,2,1,1,"CM","B","E","I","P",55
"1270",2,3,3,2,3,"CE","P","E","A","E",15
"1271",1,3,1,5,2,"BI","M","E","G","C",4
"1272",5,3,5,4,2,"SR","P","E","A","R",19
"1273",2,3,4,5,3,"BI","P","R","","",37
"1274",2,4,2,2,1,"QP","P","E","I","C",7
"1275",1,1,5,1,5,"QP","M","E","I","R",25
"1276",1,1,1,5,1,"PE","M","E","I","R",14
"1277",1,1,2,1,1,"","P","E","A","E",15
"1278",5,5,5,5,5,"BI","M","E","G","C",36
"1279",3,3,2,4,3,"CE","P","S","G","C",14
"1280",1,2,1,1,1,"BE","M","E","A","R",14
"1281",5,5,5,5,1,"MR","P","R","A","C",32
"1282",3,3,3,5,5,"BE","B","E","G","E",47
"1283",5,5,5,2,5,"BI","M","E","A","C",47
"1284",2,2,5,1,1,"BE","P","E","A","E",4
"1285",4,3,2,2,1,"BA","B","E","I","P",14
"1286",3,3,3,3,3,"BP","P","E","I","R",25
"1287",2,2,5,2,5,"EN","P","E","G","P",26
"1288",5,5,5,5,5,"BE","P","E","A","E",14
"1289",1,1,5,1,1,"CE","P","E","A","E",4
"1290",2,3,2,1,2,"BP","M","E","I","P",47
"1291",2,2,5,5,5,"BE","B","R","","",37
"1292",4,4,3,2,3,"CM","M","E","A","C",4
"1293",5,5,5,5,5,"BE","B","E","I","P",37
"1294",5,5,5,5,5,"BI","P","E","A","E",15
"1295",1,2,2,1,1,"QP","M","E","I","P",25
"1296",5,5,4,5,5,"QP","P","E","A","E",1
"1297",1,1,5,1,5,"SS","P","R","A","R",37
"1298",5,5,2,5,5,"QP","P","E","I","C",57
"1299",5,5,5,5,5,"BI","M","E","I","R",9
"1300",5,4,5,5,5,"BE","M","E","I","R",9
"1301",5,5,5,5,5,"QP","P","E","I","P",9
"1302",5,5,5,5,3,"MR","M","S","I","P",3
"1303",5,5,5,5,5,"SR","P","E","A","R",4
"1304",5,5,5,1,5,"BI","M","I","","S",3
"1305",3,3,3,3,3,"MR","P","E","I","P",3
"1306",3,3,3,5,3,"","M","R","","R",31
"1307",5,5,5,5,5,"QP","P","E","A","E",11
"1308",5,3,3,5,1,"BI","M","R","G","P",35
"1309",1,2,4,2,2,"BI","M","E","G","P",3
"1310",1,2,5,1,1,"EN","M","E","G","C",47
"1311",2,3,2,2,1,"QP","M","E","I","C",14
"1312",5,5,5,5,5,"","P","E","A","E",14
"1313",5,5,5,1,4,"BI","P","E","A","R",26
"1314",1,3,2,5,3,"CE","","R","A","E",1
"1315",2,1,2,1,5,"BI","M","E","A","R",25
"1316",1,2,1,1,5,"BP","M","E","I","R",55
"1317",5,4,4,4,4,"BI","P","E","A","R",25
"1318",5,5,5,5,5,"CM","P","E","A","R",14
"1319",5,5,5,5,5,"GV","P","E","G","R",48
"1320",3,4,2,1,3,"SR","P","E","G","R",8
"1321",5,5,5,5,5,"BE","P","E","I","R",25
"1322",5,5,5,5,5,"CE","P","E","A","R",58
"1323",3,3,4,2,2,"SS","P","E","A","E",57
"1324",5,5,5,5,5,"BI","P","E","A","C",23
"1325",5,5,5,5,5,"SS","P","E","A","R",9
"1326",5,5,0,5,5,"","P","E","A","E",17
"1327",2,3,5,2,1,"BE","M","E","I","R",1
"1328",1,2,3,1,1,"","N","E","I","P",25
"1329",1,3,3,2,2,"CM","P","E","G","R",9
"1330",1,1,1,2,2,"BI","P","E","G","C",41
"1331",5,5,5,5,5,"PE","P","E","A","R",26
"1332",2,2,5,2,1,"CM","P","E","A","E",58
"1333",4,5,5,5,2,"PE","P","E","A","E",20
"1334",5,5,5,5,5,"BE","M","E","I","R",59
"1335",4,3,5,5,1,"BI","M","E","I","P",9
"1336",1,2,2,1,2,"BI","P","E","A","C",18
"1337",1,1,3,1,1,"BE","P","E","A","E",15
"1338",2,2,5,1,4,"CM","P","E","A","E",9
"1339",4,4,5,2,3,"SS","P","E","A","R",3
"1340",1,1,1,1,1,"TH","M","I","A","S",3
"1341",2,4,5,2,2,"QP","M","S","I","C",9
"1342",5,4,5,5,2,"","P","E","A","E",26
"1343",1,2,5,2,5,"CM","P","S","I","C",10
"1344",1,2,4,1,4,"PE","M","I","A","S",14
"1345",5,5,5,1,5,"CM","P","E","A","R",6
"1346",2,5,2,2,5,"SS","P","E","A","E",58
"1347",2,5,5,5,1,"BE","M","R","A","E",1
"1348",5,3,5,5,5,"BE","P","E","A","E",12
"1349",1,1,2,4,4,"QP","P","E","A","E",26
"1350",5,5,5,5,5,"SS","P","E","A","R",19
"1351",2,2,5,4,5,"PE","P","E","A","E",20
"1352",1,1,5,1,5,"EN","P","E","I","R",25
"1353",1,1,4,2,1,"TH","P","E","A","E",34
"1354",2,1,5,2,3,"TH","P","E","A","R",14
"1355",2,4,5,1,5,"EN","M","E","I","R",11
"1356",1,2,2,1,5,"BP","P","E","I","C",15
"1357",5,5,5,5,5,"BI","M","E","I","P",7
"1358",2,3,2,1,4,"BP","M","E","I","C",57
"1359",1,2,1,1,5,"BI","M","E","A","C",1
"1360",5,5,5,2,5,"BP","M","E","I","C",36
"1361",5,4,5,5,3,"PE","P","E","I","C",6
"1362",4,3,4,2,4,"","M","E","A","E",47
"1363",5,3,3,1,3,"CM","M","E","I","P",3
"1364",2,4,2,2,1,"BP","B","E","A","R",20
"1365",2,4,1,4,1,"CM","P","E","I","P",15
"1366",2,3,4,1,2,"BP","P","E","I","P",15
"1367",5,5,5,5,5,"SS","P","E","A","E",20
"1368",2,3,5,2,1,"QP","M","E","I","P",58
"1369",5,5,5,5,5,"BE","","U","","",14
"1370",2,2,1,4,1,"EN","P","U","G","R",57
"1371",5,4,5,5,3,"BE","P","R","I","C",29
"1372",5,5,3,5,1,"SS","P","R","A","E",20
"1373",5,5,5,2,3,"BP","P","E","I","P",15
"1374",5,5,5,5,5,"BI","P","E","A","R",14
"1375",5,5,5,5,5,"SS","P","R","A","E",37
"1376",5,5,5,5,1,"TH","P","E","A","E",5
"1377",2,2,5,1,3,"PE","M","E","I","P",5
"1378",1,2,5,2,5,"CM","M","E","G","P",9
"1379",2,2,4,1,2,"EN","M","E","I","C",8
"1380",1,1,2,1,1,"CM","M","S","I","C",11
"1381",1,1,1,1,2,"EN","M","E","G","P",57
"1382",5,5,5,1,1,"CM","P","E","I","P",4
"1383",5,5,5,5,5,"CE","P","E","A","E",16
"1384",2,3,2,2,4,"BE","M","E","I","R",4
"1385",5,5,5,5,3,"EN","P","E","G","R",15
"1386",5,4,2,4,2,"BI","P","E","A","R",46
"1387",5,5,5,1,5,"","M","E","I","R",55
"1388",5,5,5,5,5,"CM","M","E","I","R",47
"1389",5,4,5,1,5,"CE","M","E","I","R",47
"1390",5,5,5,4,3,"CM","M","E","I","P",6
"1391",5,5,5,2,5,"PE","P","E","I","P",9
"1392",1,1,5,1,1,"BE","P","E","A","E",23
"1393",3,2,2,2,1,"BE","M","E","I","R",3
"1394",1,1,1,1,2,"BI","P","E","A","R",58
"1395",2,2,5,4,2,"BP","P","E","I","P",15
"1396",5,5,5,5,1,"GV","M","E","G","P",4
"1397",5,5,3,4,5,"CM","M","E","A","R",8
"1398",5,5,5,5,5,"BE","P","E","A","R",23
"1399",5,5,5,2,1,"BP","P","E","A","C",57
"1400",5,5,2,2,5,"BI","M","E","I","C",4
"1401",1,2,4,5,5,"BE","M","R","I","R",26
"1402",5,5,5,5,5,"CE","P","E","A","E",36
"1403",5,5,5,5,5,"BI","P","E","A","R",25
"1404",2,4,5,2,5,"BA","M","I","A","S",25
"1405",5,5,5,5,5,"BA","P","E","A","R",3
"1406",3,3,3,1,5,"BA","P","E","A","R",6
"1407",1,1,5,1,1,"PE","P","E","I","R",26
"1408",1,3,1,1,2,"BE","P","U","A","E",15
"1409",5,5,5,5,3,"BE","P","E","I","P",15
"1410",3,5,5,5,5,"","B","R","G","",42
"1411",3,3,2,2,1,"BA","P","S","I","P",3
"1412",3,4,3,2,4,"BI","M","S","I","C",36
"1413",5,4,5,4,4,"GV","P","E","G","P",20
"1414",1,3,2,5,5,"SR","M","R","I","P",45
"1415",2,2,5,2,2,"CE","P","E","A","E",12
"1416",4,3,4,5,4,"CE","P","E","A","E",26
"1417",2,2,4,1,2,"CE","P","E","A","R",9
"1418",5,5,5,2,1,"EN","P","E","I","R",14
"1419",2,3,5,5,2,"BA","P","E","A","R",36
"1420",2,3,5,5,4,"BI","P","E","A","R",9
"1421",5,5,0,5,1,"","P","R","A","R",21
"1422",5,5,5,5,5,"CE","P","E","A","E",58
"1423",5,5,5,5,5,"PE","P","E","I","C",9
"1424",5,4,3,4,1,"CM","M","E","G","R",55
"1425",1,2,2,1,5,"BI","P","E","A","C",8
"1426",2,2,4,4,5,"QP","M","E","A","E",25
"1427",3,3,3,3,5,"","P","E","A","E",4
"1428",5,3,5,1,5,"BP","M","E","I","P",20
"1429",5,5,5,4,5,"GV","M","E","G","P",57
"1430",5,4,5,2,3,"QP","P","E","I","C",9
"1431",1,1,2,2,2,"BI","P","E","G","C",8
"1432",1,1,2,1,2,"BI","M","E","A","C",55
"1433",3,3,3,1,2,"BP","P","E","I","P",9
"1434",5,5,5,5,5,"BA","P","E","A","E",20
"1435",2,1,2,1,4,"BI","P","E","A","P",15
"1436",5,5,5,3,5,"GV","B","E","G","P",58
"1437",5,5,5,5,5,"BI","P","E","A","P",15
"1438",5,0,0,0,0,"","P","E","A","R",14
"1439",1,1,1,2,4,"BI","P","E","I","R",47
"1440",2,2,2,1,1,"CM","P","E","I","P",6
"1441",4,4,5,4,3,"BI","P","E","A","E",15
"1442",1,3,4,1,1,"CM","P","E","A","R",3
"1443",5,5,5,5,5,"CM","P","E","I","C",22
"1444",4,4,1,5,5,"QP","P","E","I","R",14
"1445",5,5,5,5,3,"BI","P","E","A","E",10
"1446",2,2,1,5,1,"BI","P","E","A","R",6
"1447",1,1,1,2,3,"BE","P","S","I","C",55
"1448",1,4,1,1,2,"QP","M","E","I","P",55
"1449",5,5,5,5,5,"PE","P","E","A","E",23
"1450",1,1,2,1,3,"BI","P","E","I","C",10
"1451",1,1,5,1,1,"QP","P","E","A","E",6
"1452",1,1,2,2,1,"BE","M","E","I","C",59
"1453",2,4,2,2,5,"BE","P","E","A","E",58
"1454",5,4,4,5,5,"PE","P","E","I","P",6
"1455",4,4,3,4,1,"SS","P","E","A","E",47
"1456",4,3,5,2,4,"BE","M","I","A","S",25
"1457",5,5,5,2,3,"SS","P","E","A","E",23
"1458",1,5,5,2,5,"MR","M","E","I","C",14
"1459",2,5,5,2,5,"BP","M","E","I","P",57
"1460",2,2,1,1,2,"QP","P","E","A","E",57
"1461",5,5,5,5,5,"SR","M","E","A","R",47
"1462",2,2,3,1,4,"SP","P","E","A","E",14
"1463",1,2,5,1,5,"PE","P","E","A","E",15
"1464",2,3,2,4,2,"BP","M","E","A","R",9
"1465",5,5,5,4,5,"BE","P","E","A","R",9
"1466",5,5,5,2,1,"BI","P","E","A","R",25
"1467",4,4,4,5,3,"BP","P","E","I","R",20
"1468",5,5,5,5,5,"TH","P","E","A","R",26
"1469",5,5,5,4,2,"BI","P","E","I","C",9
"1470",2,2,2,4,2,"SR","M","S","I","C",37
"1471",5,4,5,2,3,"BI","P","E","A","R",29
"1472",4,3,4,5,5,"BP","P","E","G","R",20
"1473",2,2,5,4,4,"PE","M","E","A","E",22
"1474",1,2,5,1,1,"BP","M","E","I","C",36
"1475",5,5,5,2,5,"SS","P","E","I","R",4
"1476",5,5,5,5,3,"CM","P","E","G","R",57
"1477",2,1,5,5,3,"QP","P","E","A","E",25
"1478",4,4,4,4,2,"PE","P","E","A","R",55
"1479",4,4,5,5,5,"QP","P","E","A","E",57
"1480",5,3,0,1,5,"GV","M","E","G","C",36
"1481",5,5,3,5,5,"GV","M","E","G","C",4
"1482",5,3,2,5,5,"TH","P","E","A","R",36
"1483",5,5,5,3,5,"BP","M","E","I","P",36
"1484",2,1,2,4,2,"BE","M","E","I","C",19
"1485",2,3,5,2,5,"BP","P","E","I","R",47
"1486",5,5,5,5,3,"PE","P","S","I","C",47
"1487",5,5,5,4,5,"BE","P","E","A","R",57
"1488",5,4,5,4,1,"OT","P","E","A","E",36
"1489",2,3,2,2,5,"BI","P","E","G","R",25
"1490",3,3,2,2,5,"PE","B","E","I","P",3
"1491",2,1,3,2,1,"BI","M","I","A","S",3
"1492",5,5,5,5,5,"BI","P","E","G","R",4
"1493",5,5,5,1,5,"PE","P","E","A","E",27
"1494",5,5,5,5,5,"","M","E","","R",1
"1495",5,5,5,1,2,"SR","M","E","I","P",6
"1496",2,4,2,2,2,"PE","M","E","I","P",25
"1497",5,5,5,5,2,"EN","P","E","A","E",20
"1498",5,5,5,1,5,"BP","P","E","I","R",15
"1499",2,4,5,4,5,"BI","P","E","G","R",30
"1500",1,2,4,1,5,"BP","P","E","I","R",57
"1501",5,5,1,5,2,"BI","P","E","A","R",4
"1502",1,1,5,1,2,"BI","P","E","A","R",9
"1503",1,1,5,1,1,"BI","P","E","A","R",8
"1504",5,5,5,5,5,"CM","P","E","A","E",55
"1505",2,4,5,2,3,"BE","M","I","A","S",25
"1506",1,2,5,2,5,"BP","P","S","I","C",20
"1507",5,3,5,5,5,"","M","I","","S",36
"1508",5,5,5,4,3,"PE","P","E","A","P",4
"1509",5,5,5,5,1,"BE","P","E","I","R",14
"1510",5,5,5,5,2,"SR","P","E","A","P",15
"1511",1,2,5,5,5,"SS","P","R","A","E",15
"1512",2,2,5,4,5,"BE","M","E","G","R",55
"1513",2,2,4,2,3,"CM","B","E","G","P",20
"1514",2,2,5,1,5,"CM","P","S","","C",15
"1515",4,3,2,2,2,"TH","P","E","A","E",4
"1516",2,2,2,2,2,"SS","P","E","A","R",4
"1517",2,2,2,2,1,"","P","E","A","E",20
"1518",5,5,4,3,3,"BP","P","E","I","P",11
"1519",5,0,4,5,2,"SR","P","E","A","R",20
"1520",1,3,1,1,2,"SS","P","U","I","P",15
"1521",2,2,3,2,3,"BI","P","E","A","C",27
"1522",1,1,2,1,2,"EN","P","E","A","R",36
"1523",3,3,4,2,4,"PE","P","E","I","R",8
"1524",4,0,4,2,4,"BP","M","E","I","C",6
"1525",5,5,5,5,5,"BE","P","E","A","E",15
"1526",2,3,4,4,2,"QP","P","E","A","E",26
"1527",3,2,2,2,4,"BI","M","E","G","C",14
"1528",2,3,2,5,2,"BE","B","R","I","P",50
"1529",1,1,2,1,2,"BE","M","E","I","P",1
"1530",2,1,0,5,1,"BI","P","E","A","E",22
"1531",5,5,5,1,1,"QP","M","E","I","C",47
"1532",1,2,3,5,3,"BA","P","E","A","R",15
"1533",4,3,2,4,5,"BP","M","E","I","C",59
"1534",5,5,5,2,5,"SS","P","E","A","R",1
"1535",2,4,1,2,2,"BP","P","E","I","P",15
"1536",1,2,1,1,2,"BP","M","E","I","P",36
"1537",1,1,5,1,5,"BE","P","E","I","P",9
"1538",1,1,1,4,1,"MR","M","I","A","R",3
"1539",1,3,4,5,2,"BP","P","E","I","C",57
"1540",2,3,4,1,2,"BI","P","E","A","R",26
"1541",1,2,2,1,5,"BI","M","E","G","R",6
"1542",1,1,4,1,4,"","P","E","A","E",14
"1543",2,3,1,1,5,"QP","M","E","I","P",1
"1544",2,2,4,2,2,"PE","P","E","A","E",20
"1545",1,1,5,2,1,"QP","P","E","I","P",11
"1546",2,2,5,1,3,"CM","P","R","A","R",34
"1547",4,5,4,5,1,"BE","P","E","A","R",9
"1548",1,1,2,1,2,"BP","P","S","I","C",8
"1549",5,5,5,5,5,"CM","P","E","A","R",55
"1550",5,5,5,4,5,"BE","M","E","I","P",9
"1551",2,4,1,5,5,"BP","P","E","I","P",55
"1552",3,3,5,5,3,"SP","P","E","A","E",19
"1553",5,5,5,4,5,"CE","P","E","A","E",25
"1554",3,3,3,2,2,"PE","M","E","I","C",3
"1555",1,2,4,4,2,"PE","M","E","A","R",47
"1556",1,1,2,2,5,"CM","P","E","I","P",25
"1557",5,3,3,2,5,"CM","M","E","G","P",4
"1558",5,5,5,4,5,"EN","P","E","A","C",9
"1559",2,2,5,3,1,"PE","M","U","I","C",3
"1560",2,2,2,5,5,"","P","E","A","E",14
"1561",5,5,5,5,5,"TH","M","E","A","R",4
"1562",3,3,4,3,4,"","P","E","A","E",58
"1563",5,5,5,5,5,"BI","P","E","A","R",10
"1564",5,5,5,5,5,"SR","P","E","I","R",11
"1565",5,5,5,4,5,"BI","","E","A","C",55
"1566",3,3,5,5,5,"BI","P","E","A","R",21
"1567",1,1,5,5,2,"BE","P","E","A","E",15
"1568",3,3,2,3,2,"BI","P","E","G","R",19
"1569",1,1,3,5,2,"SR","P","R","A","R",45
"1570",1,2,2,1,2,"CE","P","E","A","E",47
"1571",5,5,5,2,5,"MR","P","E","A","E",15
"1572",5,5,5,3,2,"BE","P","E","A","R",3
"1573",2,5,5,2,2,"BI","P","E","A","P",20
"1574",5,5,5,2,5,"BE","P","E","A","E",1
"1575",5,4,5,5,5,"BP","P","E","I","R",14
"1576",5,5,5,5,5,"EN","P","E","G","P",26
"1577",5,4,5,5,5,"SS","M","I","A","S",14
"1578",1,1,5,1,5,"","P","E","A","E",47
"1579",1,3,1,1,1,"CE","P","E","A","E",15
"1580",5,5,5,3,3,"CM","P","E","A","R",10
"1581",5,5,5,2,3,"BI","M","E","A","R",25
"1582",4,3,4,2,2,"QP","M","E","I","P",8
"1583",5,5,5,5,5,"BI","P","E","A","E",26
"1584",5,5,5,5,5,"BE","B","E","G","R",9
"1585",5,5,5,4,3,"BI","M","E","G","P",4
"1586",2,3,4,4,1,"GV","B","E","G","P",1
"1587",2,4,3,2,2,"SR","M","E","G","C",6
"1588",1,1,1,1,1,"BI","M","E","G","R",17
"1589",5,5,4,5,1,"BI","P","E","A","R",3
"1590",2,5,5,4,5,"CM","M","R","I","P",4
"1591",5,5,5,5,5,"BE","M","E","I","P",36
"1592",5,5,5,5,5,"PE","P","E","A","E",11
"1593",5,3,5,5,5,"SR","M","E","I","R",4
"1594",5,5,5,1,5,"BI","P","E","A","R",4
"1595",1,1,2,1,2,"BI","M","E","G","C",23
"1596",3,3,3,3,3,"PE","P","E","A","R",25
"1597",1,3,1,1,1,"BI","P","E","A","R",14
"1598",2,3,2,5,4,"GV","M","R","G","C",37
"1599",2,4,5,4,2,"BP","M","E","I","C",58
"1600",1,3,5,1,5,"BE","M","E","I","P",12
"1601",2,3,3,2,2,"BP","P","E","I","P",55
"1602",5,5,5,5,5,"MR","M","S","I","C",26
"1603",2,1,5,1,2,"SR","P","E","I","C",36
"1604",1,1,3,1,5,"QP","P","E","A","E",19
"1605",5,5,5,5,5,"","P","E","A","R",4
"1606",3,3,3,5,5,"","M","E","A","R",59
"1607",5,5,5,5,5,"SS","P","E","A","R",19
"1608",1,1,2,1,1,"CM","P","E","I","C",47
"1609",1,2,4,1,2,"BI","M","E","I","C",6
"1610",5,5,5,5,1,"QP","M","R","I","P",15
"1611",1,1,5,5,1,"PE","P","R","A","E",37
"1612",2,2,4,2,2,"","P","E","I","C",26
"1613",2,4,3,2,2,"BI","M","E","A","E",3
"1614",5,5,5,5,1,"QP","M","E","I","R",7
"1615",1,1,2,5,2,"SS","P","R","A","R",15
"1616",2,2,1,1,1,"BI","P","E","A","C",59
"1617",5,5,5,5,5,"BE","P","E","A","E",15
"1618",1,2,2,1,4,"BP","P","E","I","P",9
"1619",5,5,5,5,5,"QP","M","E","I","P",7
"1620",1,1,2,2,1,"GV","P","E","G","C",26
"1621",5,5,5,5,5,"SS","P","E","G","R",14
"1622",1,1,2,1,5,"BI","P","E","G","C",14
"1623",2,2,5,2,4,"GV","B","E","G","P",9
"1624",1,1,2,2,2,"BA","P","E","A","E",47
"1625",1,1,5,3,5,"BI","P","E","A","E",20
"1626",2,2,4,1,2,"PE","M","E","I","P",58
"1627",5,5,5,1,5,"CM","P","S","I","R",12
"1628",5,5,5,4,5,"PE","P","E","A","E",5
"1629",5,5,5,5,5,"BI","P","E","A","E",27
"1630",5,5,5,3,3,"BI","P","E","A","R",6
"1631",5,5,5,5,3,"BE","P","R","I","C",36
"1632",5,5,5,2,2,"PE","P","E","A","R",4
"1633",5,5,5,2,5,"BI","M","E","A","C",47
"1634",2,2,3,2,2,"BI","P","E","A","E",36
"1635",2,3,2,2,5,"CE","P","E","A","R",8
"1636",1,1,1,1,4,"BI","P","E","G","C",57
"1637",5,5,5,3,5,"BI","P","E","A","R",4
"1638",5,5,5,3,3,"","P","E","A","R",4
"1639",5,5,5,5,5,"SS","P","E","G","R",58
"1640",3,4,0,1,5,"BI","P","E","G","P",15
"1641",2,3,2,1,2,"SR","M","E","I","P",9
"1642",1,1,1,1,5,"PE","P","E","A","E",9
"1643",1,1,2,1,5,"BE","P","E","A","E",47
"1644",1,3,3,5,5,"PE","P","R","I","C",39
"1645",1,1,1,1,4,"BI","M","S","I","C",17
"1646",5,3,4,2,5,"BI","P","E","A","R",25
"1647",5,5,5,1,5,"SR","M","E","I","C",9
"1648",4,5,3,2,1,"SR","P","E","G","R",13
"1649",2,2,2,4,5,"GV","M","E","G","P",6
"1650",5,5,5,5,5,"BP","P","E","I","R",15
"1651",2,2,3,1,2,"PE","P","E","I","R",6
"1652",5,5,5,5,5,"BA","P","E","A","E",19
"1653",5,5,5,5,2,"BI","P","E","I","R",15
"1654",2,2,5,2,3,"TH","P","E","A","R",11
"1655",5,4,5,4,5,"BI","P","E","A","E",12
"1656",2,3,5,2,5,"BI","P","E","A","R",10
"1657",1,1,1,1,5,"BI","P","E","I","C",13
"1658",2,4,4,2,5,"SR","N","E","I","R",3
"1659",1,0,5,1,5,"BP","M","E","I","R",14
"1660",5,5,5,5,5,"TH","M","E","A","E",17
"1661",5,5,5,4,5,"BI","M","I","A","S",3
"1662",3,2,5,2,5,"BI","P","E","A","E",18
"1663",1,1,5,1,2,"MR","M","E","I","P",3
"1664",3,3,2,4,5,"BA","P","U","A","",9
