"SurveyResponseID","AnswerNumber","AmenityType","EnvPracticeRating"
3185309,137,"Overall environmental management","Amongst the best in the world"
3185317,152,"Activity and attractions","Don't know"
3185404,143,"Commercial accommodation","About average"
3185572,158,"Public infrastructure","Ahead of most other places"
3185572,155,"Commercial accommodation","Ahead of most other places"
3185592,142,"Activity and attractions","Ahead of most other places"
3185608,142,"Activity and attractions","Ahead of most other places"
3185416,150,"Activity and attractions","Ahead of most other places"
3185309,136,"Public infrastructure","Behind most other places"
3185351,144,"Visitor transport","Behind most other places"
3185313,158,"Overall environmental management","Ahead of most other places"
3185404,145,"Visitor transport","Ahead of most other places"
3185580,156,"Public infrastructure","Behind most other places"
3185408,146,"Commercial accommodation","About average"
3185355,159,"Visitor transport","About average"
3185313,154,"Commercial accommodation","Amongst the best in the world"
3185367,169,"Commercial accommodation","Behind most other places"
3185309,133,"Commercial accommodation","Ahead of most other places"
3185580,153,"Commercial accommodation","Ahead of most other places"
3185367,170,"Activity and attractions","Amongst the best in the world"
3185592,141,"Commercial accommodation","About average"
3185608,141,"Commercial accommodation","About average"
3185416,149,"Commercial accommodation","Amongst the best in the world"
3185351,145,"Public infrastructure","About average"
3185404,144,"Activity and attractions","Ahead of most other places"
3185408,147,"Activity and attractions","About average"
3185351,142,"Commercial accommodation","Ahead of most other places"
3185355,157,"Commercial accommodation","Behind most other places"
3185317,151,"Commercial accommodation","About average"
3185408,148,"Visitor transport","Don't know"
3185592,145,"Overall environmental management","About average"
3185317,153,"Visitor transport","Ahead of most other places"
3185355,161,"Overall environmental management","Ahead of most other places"
3185592,143,"Visitor transport","About average"
3185408,149,"Public infrastructure","About average"
3185592,144,"Public infrastructure","Amongst the best in the world"
3185608,143,"Visitor transport","Don't know"
3185616,141,"Activity and attractions","Ahead of most other places"
3185317,154,"Public infrastructure","Amongst the best in the world"
3185416,151,"Visitor transport","Don't know"
3185329,155,"Activity and attractions","Amongst the best in the world"
3185317,155,"Overall environmental management","Amongst the best in the world"
3185329,156,"Visitor transport","Ahead of most other places"
3185337,169,"Activity and attractions","Ahead of most other places"
3185608,145,"Overall environmental management","Ahead of most other places"
3185416,153,"Overall environmental management","Ahead of most other places"
3185329,157,"Public infrastructure","Amongst the best in the world"
3185620,147,"Activity and attractions","Don't know"
3185337,168,"Commercial accommodation","Behind most other places"
3185420,155,"Activity and attractions","About average"
3185329,158,"Overall environmental management","Behind most other places"
3185616,140,"Commercial accommodation","About average"
3185375,146,"Commercial accommodation","Ahead of most other places"
3185355,160,"Public infrastructure","Ahead of most other places"
3185616,143,"Public infrastructure","Don't know"
3185367,173,"Overall environmental management","Ahead of most other places"
3185329,154,"Commercial accommodation","Amongst the worst in the world"
3185620,146,"Commercial accommodation","About average"
3185616,144,"Overall environmental management","Ahead of most other places"
3185408,150,"Overall environmental management","Ahead of most other places"
3185367,172,"Public infrastructure","Amongst the best in the world"
3185420,156,"Visitor transport","Ahead of most other places"
3185375,148,"Visitor transport","Ahead of most other places"
3185608,144,"Public infrastructure","About average"
3185416,152,"Public infrastructure","About average"
3185375,147,"Activity and attractions","About average"
3185616,142,"Visitor transport","Ahead of most other places"
3185420,154,"Commercial accommodation","Ahead of most other places"
3185367,171,"Visitor transport","About average"
3185337,170,"Visitor transport","Amongst the best in the world"
3185357,149,"Activity and attractions","Ahead of most other places"
3185428,143,"Commercial accommodation","About average"
3185428,144,"Activity and attractions","Don't know"
3185337,171,"Public infrastructure","Don't know"
3185357,148,"Commercial accommodation","About average"
3185632,167,"Activity and attractions","Amongst the best in the world"
3185379,131,"Activity and attractions","Ahead of most other places"
3185632,166,"Commercial accommodation","Don't know"
3185620,150,"Overall environmental management","Ahead of most other places"
3185428,145,"Visitor transport","Behind most other places"
3185357,151,"Public infrastructure","Don't know"
3185375,149,"Public infrastructure","About average"
3185636,157,"Activity and attractions","Ahead of most other places"
3185420,158,"Overall environmental management","Amongst the best in the world"
3185379,132,"Visitor transport","Behind most other places"
3185373,143,"Activity and attractions","Behind most other places"
3185428,147,"Overall environmental management","Amongst the best in the world"
3185632,169,"Public infrastructure","Amongst the best in the world"
3185379,130,"Commercial accommodation","Ahead of most other places"
3185379,134,"Overall environmental management","Ahead of most other places"
3185387,147,"Visitor transport","Ahead of most other places"
3185632,170,"Overall environmental management","Ahead of most other places"
3185377,136,"Commercial accommodation","About average"
3185337,172,"Overall environmental management","Ahead of most other places"
3185620,148,"Visitor transport","Don't know"
3185448,151,"Public infrastructure","Ahead of most other places"
3185620,149,"Public infrastructure","Ahead of most other places"
3185420,157,"Public infrastructure","About average"
3185387,146,"Activity and attractions","About average"
3185357,152,"Overall environmental management","Amongst the best in the world"
3185375,150,"Overall environmental management","Ahead of most other places"
3185448,150,"Visitor transport","Ahead of most other places"
3185357,150,"Visitor transport","About average"
3185373,142,"Commercial accommodation","Behind most other places"
3185379,133,"Public infrastructure","About average"
3185428,146,"Public infrastructure","About average"
3185632,168,"Visitor transport","Ahead of most other places"
3185373,144,"Visitor transport","Don't know"
3185387,148,"Public infrastructure","Behind most other places"
3185387,145,"Commercial accommodation","Behind most other places"
3185448,148,"Commercial accommodation","Ahead of most other places"
3185448,152,"Overall environmental management","Ahead of most other places"
3185395,166,"Commercial accommodation","Don't know"
3185377,140,"Overall environmental management","Ahead of most other places"
3185373,145,"Public infrastructure","Ahead of most other places"
3185652,148,"Visitor transport","About average"
3185652,146,"Commercial accommodation","Ahead of most other places"
3185656,141,"Visitor transport","Ahead of most other places"
3185660,137,"Public infrastructure","Ahead of most other places"
3185636,158,"Visitor transport","Amongst the best in the world"
3185636,160,"Overall environmental management","About average"
3185395,169,"Public infrastructure","Don't know"
3185656,143,"Overall environmental management","Amongst the best in the world"
3185407,157,"Overall environmental management","Amongst the best in the world"
3185660,136,"Visitor transport","Don't know"
3185373,146,"Overall environmental management","Ahead of most other places"
3185395,168,"Visitor transport","Ahead of most other places"
3185377,139,"Public infrastructure","Don't know"
3185652,149,"Public infrastructure","About average"
3185656,142,"Public infrastructure","About average"
3185407,156,"Public infrastructure","Ahead of most other places"
3185660,138,"Overall environmental management","Don't know"
3185415,161,"Public infrastructure","Amongst the best in the world"
3185636,156,"Commercial accommodation","About average"
3185387,149,"Overall environmental management","Ahead of most other places"
3185636,159,"Public infrastructure","About average"
3185377,138,"Visitor transport","Ahead of most other places"
3185652,150,"Overall environmental management","Ahead of most other places"
3185395,170,"Overall environmental management","Amongst the best in the world"
3185456,150,"Public infrastructure","Ahead of most other places"
3185407,155,"Visitor transport","Ahead of most other places"
3185415,160,"Visitor transport","Don't know"
3185456,147,"Commercial accommodation","Amongst the best in the world"
3185456,149,"Visitor transport","Ahead of most other places"
3185407,153,"Commercial accommodation","About average"
3185656,139,"Commercial accommodation","Ahead of most other places"
3185660,134,"Commercial accommodation","Don't know"
3185389,129,"Commercial accommodation","About average"
3185415,162,"Overall environmental management","Amongst the best in the world"
3185415,158,"Commercial accommodation","About average"
3185423,145,"Commercial accommodation","About average"
3185423,148,"Public infrastructure","About average"
3185389,132,"Public infrastructure","Ahead of most other places"
3185664,152,"Commercial accommodation","Amongst the worst in the world"
3185443,154,"Commercial accommodation","About average"
3185652,147,"Activity and attractions","Ahead of most other places"
3185468,132,"Commercial accommodation","About average"
3185448,149,"Activity and attractions","About average"
3185456,151,"Overall environmental management","About average"
3185423,147,"Visitor transport","Don't know"
3185656,140,"Activity and attractions","About average"
3185389,131,"Visitor transport","About average"
3185395,167,"Activity and attractions","Ahead of most other places"
3185407,154,"Activity and attractions","Ahead of most other places"
3185456,148,"Activity and attractions","Ahead of most other places"
3185389,133,"Overall environmental management","Ahead of most other places"
3185423,149,"Overall environmental management","Amongst the best in the world"
3185401,150,"Commercial accommodation","About average"
3185660,135,"Activity and attractions","Don't know"
3185468,134,"Visitor transport","Don't know"
3185423,146,"Activity and attractions","Don't know"
3185664,154,"Visitor transport","Amongst the best in the world"
3185443,158,"Overall environmental management","About average"
3185389,130,"Activity and attractions","Amongst the best in the world"
3185377,137,"Activity and attractions","Ahead of most other places"
3185468,133,"Activity and attractions","Don't know"
3185401,151,"Activity and attractions","Amongst the best in the world"
3185443,156,"Visitor transport","About average"
3185664,155,"Public infrastructure","About average"
3185459,150,"Overall environmental management","Amongst the best in the world"
3185680,175,"Public infrastructure","Ahead of most other places"
3185468,135,"Public infrastructure","Ahead of most other places"
3185463,165,"Visitor transport","Ahead of most other places"
3185415,159,"Activity and attractions","Don't know"
3185443,157,"Public infrastructure","About average"
3185401,152,"Visitor transport","Ahead of most other places"
3185459,147,"Activity and attractions","Ahead of most other places"
3185463,163,"Commercial accommodation","Amongst the best in the world"
3185692,162,"Commercial accommodation","Ahead of most other places"
3185680,174,"Visitor transport","About average"
3185696,132,"Commercial accommodation","Don't know"
3185401,153,"Public infrastructure","About average"
3185459,148,"Visitor transport","Ahead of most other places"
3185409,174,"Commercial accommodation","Ahead of most other places"
3185421,157,"Commercial accommodation","Ahead of most other places"
3185680,176,"Overall environmental management","About average"
3185680,173,"Activity and attractions","Ahead of most other places"
3185443,155,"Activity and attractions","About average"
3185664,153,"Activity and attractions","Don't know"
3185664,156,"Overall environmental management","Ahead of most other places"
3185459,146,"Commercial accommodation","About average"
3185680,172,"Commercial accommodation","Ahead of most other places"
3185401,154,"Overall environmental management","Ahead of most other places"
3185459,149,"Public infrastructure","Ahead of most other places"
3185692,164,"Visitor transport","Ahead of most other places"
3185463,164,"Activity and attractions","About average"
3185468,136,"Overall environmental management","Ahead of most other places"
3185692,163,"Activity and attractions","About average"
3185692,165,"Public infrastructure","Amongst the best in the world"
3185696,133,"Activity and attractions","Ahead of most other places"
3185409,176,"Visitor transport","Don't know"
3185692,166,"Overall environmental management","Ahead of most other places"
3185421,158,"Activity and attractions","Ahead of most other places"
3185421,160,"Public infrastructure","Don't know"
3185463,166,"Public infrastructure","Ahead of most other places"
3185696,136,"Overall environmental management","About average"
3185425,153,"Visitor transport","About average"
3185467,158,"Public infrastructure","Amongst the best in the world"
3185429,152,"Activity and attractions","Ahead of most other places"
3185488,163,"Visitor transport","About average"
3185704,163,"Activity and attractions","Ahead of most other places"
3185421,161,"Overall environmental management","Ahead of most other places"
3185425,154,"Public infrastructure","Ahead of most other places"
3185429,153,"Visitor transport","Don't know"
3185409,175,"Activity and attractions","Don't know"
3185488,161,"Commercial accommodation","Ahead of most other places"
3185409,178,"Overall environmental management","Amongst the best in the world"
3185696,134,"Visitor transport","About average"
3185425,152,"Activity and attractions","About average"
3185488,164,"Public infrastructure","Amongst the best in the world"
3185467,157,"Visitor transport","Ahead of most other places"
3185488,162,"Activity and attractions","About average"
3185409,177,"Public infrastructure","About average"
3185696,135,"Public infrastructure","Don't know"
3185425,151,"Commercial accommodation","Ahead of most other places"
3185433,152,"Commercial accommodation","Ahead of most other places"
3185467,155,"Commercial accommodation","About average"
3185421,159,"Visitor transport","Don't know"
3185463,167,"Overall environmental management","About average"
3185467,156,"Activity and attractions","Ahead of most other places"
3185488,165,"Overall environmental management","Ahead of most other places"
3185425,155,"Overall environmental management","About average"
3185471,134,"Commercial accommodation","Don't know"
3185429,155,"Overall environmental management","Amongst the best in the world"
3185433,154,"Visitor transport","About average"
3185437,144,"Activity and attractions","Ahead of most other places"
3185471,135,"Activity and attractions","Amongst the best in the world"
3185712,169,"Commercial accommodation","Ahead of most other places"
3185492,147,"Commercial accommodation","Ahead of most other places"
3185704,164,"Visitor transport","About average"
3185433,155,"Public infrastructure","Ahead of most other places"
3185500,145,"Commercial accommodation","About average"
3185704,162,"Commercial accommodation","Ahead of most other places"
3185429,151,"Commercial accommodation","Amongst the best in the world"
3185500,146,"Activity and attractions","Ahead of most other places"
3185433,153,"Activity and attractions","Ahead of most other places"
3185704,166,"Overall environmental management","Ahead of most other places"
3185429,154,"Public infrastructure","Ahead of most other places"
3185716,156,"Commercial accommodation","Behind most other places"
3185467,159,"Overall environmental management","Amongst the best in the world"
3185712,170,"Activity and attractions","Amongst the best in the world"
3185492,148,"Activity and attractions","Ahead of most other places"
3185437,143,"Commercial accommodation","About average"
3185704,165,"Public infrastructure","About average"
3185433,156,"Overall environmental management","Amongst the best in the world"
3185716,157,"Activity and attractions","Don't know"
3185437,146,"Public infrastructure","Ahead of most other places"
3185492,150,"Public infrastructure","Ahead of most other places"
3185712,172,"Public infrastructure","Amongst the best in the world"
3185471,138,"Overall environmental management","Ahead of most other places"
3185500,148,"Public infrastructure","About average"
3185471,136,"Visitor transport","Amongst the worst in the world"
3185500,147,"Visitor transport","Behind most other places"
3185492,149,"Visitor transport","Don't know"
3185712,171,"Visitor transport","Don't know"
3185437,145,"Visitor transport","About average"
3185479,140,"Activity and attractions","About average"
3185724,157,"Commercial accommodation","Ahead of most other places"
3185441,144,"Activity and attractions","Ahead of most other places"
3185441,145,"Visitor transport","Ahead of most other places"
3185487,159,"Commercial accommodation","Ahead of most other places"
3185504,172,"Activity and attractions","Ahead of most other places"
3185492,151,"Overall environmental management","Amongst the best in the world"
3185712,173,"Overall environmental management","Ahead of most other places"
3185449,146,"Commercial accommodation","Ahead of most other places"
3185437,147,"Overall environmental management","Ahead of most other places"
3185471,137,"Public infrastructure","About average"
3185500,149,"Overall environmental management","Don't know"
3185441,143,"Commercial accommodation","About average"
3185479,139,"Commercial accommodation","About average"
3185504,171,"Commercial accommodation","Behind most other places"
3185487,161,"Visitor transport","About average"
3185724,158,"Activity and attractions","Amongst the best in the world"
3185491,151,"Activity and attractions","Ahead of most other places"
3185449,147,"Activity and attractions","Ahead of most other places"
3185479,141,"Visitor transport","About average"
3185716,160,"Overall environmental management","About average"
3185487,162,"Public infrastructure","Ahead of most other places"
3185508,155,"Activity and attractions","Ahead of most other places"
3185716,158,"Visitor transport","Ahead of most other places"
3185441,147,"Overall environmental management","Ahead of most other places"
3185479,143,"Overall environmental management","Ahead of most other places"
3185504,173,"Visitor transport","Don't know"
3185491,150,"Commercial accommodation","Don't know"
3185487,160,"Activity and attractions","Ahead of most other places"
3185441,146,"Public infrastructure","About average"
3185479,142,"Public infrastructure","Ahead of most other places"
3185716,159,"Public infrastructure","Ahead of most other places"
3185504,174,"Public infrastructure","About average"
3185457,147,"Activity and attractions","Amongst the best in the world"
3185449,149,"Public infrastructure","About average"
3185504,175,"Overall environmental management","About average"
3185724,159,"Visitor transport","Don't know"
3185724,160,"Public infrastructure","Ahead of most other places"
3185449,148,"Visitor transport","About average"
3185491,153,"Public infrastructure","Amongst the best in the world"
3185449,150,"Overall environmental management","Ahead of most other places"
3185508,154,"Commercial accommodation","Ahead of most other places"
3185491,152,"Visitor transport","Amongst the best in the world"
3185457,146,"Commercial accommodation","Ahead of most other places"
3185487,163,"Overall environmental management","Ahead of most other places"
3185508,157,"Public infrastructure","Ahead of most other places"
3185724,161,"Overall environmental management","Ahead of most other places"
3185457,149,"Public infrastructure","Ahead of most other places"
3185508,156,"Visitor transport","Ahead of most other places"
3185732,143,"Activity and attractions","Ahead of most other places"
3185473,175,"Commercial accommodation","About average"
3185457,148,"Visitor transport","Behind most other places"
3185508,158,"Overall environmental management","Ahead of most other places"
3185732,144,"Visitor transport","Ahead of most other places"
3185461,141,"Activity and attractions","Amongst the best in the world"
3185744,145,"Commercial accommodation","About average"
3185736,153,"Public infrastructure","About average"
3185503,150,"Commercial accommodation","Ahead of most other places"
3185457,150,"Overall environmental management","Amongst the best in the world"
3185461,142,"Visitor transport","Behind most other places"
3185732,146,"Overall environmental management","Ahead of most other places"
3185732,142,"Commercial accommodation","Behind most other places"
3185736,152,"Visitor transport","Amongst the best in the world"
3185461,140,"Commercial accommodation","Ahead of most other places"
3185477,145,"Activity and attractions","Amongst the best in the world"
3185736,151,"Activity and attractions","Don't know"
3185473,176,"Activity and attractions","About average"
3185512,143,"Activity and attractions","About average"
3185503,151,"Activity and attractions","Ahead of most other places"
3185461,143,"Public infrastructure","Ahead of most other places"
3185736,154,"Overall environmental management","Ahead of most other places"
3185507,163,"Activity and attractions","About average"
3185491,154,"Overall environmental management","About average"
3185736,150,"Commercial accommodation","Ahead of most other places"
3185744,146,"Activity and attractions","About average"
3185512,142,"Commercial accommodation","Ahead of most other places"
3185732,145,"Public infrastructure","Don't know"
3185461,144,"Overall environmental management","About average"
3185477,144,"Commercial accommodation","Amongst the best in the world"
3185473,177,"Visitor transport","Amongst the best in the world"
3185503,152,"Visitor transport","Ahead of most other places"
3185512,145,"Public infrastructure","Ahead of most other places"
3185507,162,"Commercial accommodation","Ahead of most other places"
3185512,144,"Visitor transport","Amongst the best in the world"
3185744,147,"Visitor transport","About average"
3185503,153,"Public infrastructure","Don't know"
3185532,151,"Visitor transport","Amongst the best in the world"
3185532,149,"Commercial accommodation","Don't know"
3185473,179,"Overall environmental management","Ahead of most other places"
3185503,154,"Overall environmental management","Ahead of most other places"
3185512,146,"Overall environmental management","Ahead of most other places"
3185532,152,"Public infrastructure","About average"
3185477,146,"Visitor transport","Don't know"
3185507,166,"Overall environmental management","Ahead of most other places"
3185532,153,"Overall environmental management","Ahead of most other places"
3185540,154,"Public infrastructure","Don't know"
3185485,141,"Public infrastructure","Don't know"
3185752,149,"Public infrastructure","Don't know"
3185507,164,"Visitor transport","Don't know"
3185477,147,"Public infrastructure","Amongst the best in the world"
3185752,148,"Visitor transport","Amongst the best in the world"
3185540,151,"Commercial accommodation","Don't know"
3185540,153,"Visitor transport","Amongst the best in the world"
3185473,178,"Public infrastructure","Don't know"
3185752,146,"Commercial accommodation","Ahead of most other places"
3185744,149,"Overall environmental management","Don't know"
3185532,150,"Activity and attractions","Don't know"
3185744,148,"Public infrastructure","About average"
3185507,165,"Public infrastructure","Ahead of most other places"
3185477,148,"Overall environmental management","Amongst the best in the world"
3185540,155,"Overall environmental management","Ahead of most other places"
3185485,138,"Commercial accommodation","Don't know"
3185485,140,"Visitor transport","Don't know"
3185489,165,"Public infrastructure","Ahead of most other places"
3185556,138,"Commercial accommodation","Don't know"
3185489,166,"Overall environmental management","Ahead of most other places"
3185511,139,"Overall environmental management","Ahead of most other places"
3185548,175,"Overall environmental management","Ahead of most other places"
3185548,171,"Commercial accommodation","Don't know"
3185493,156,"Visitor transport","Don't know"
3185485,142,"Overall environmental management","Don't know"
3185489,164,"Visitor transport","About average"
3185752,150,"Overall environmental management","Amongst the best in the world"
3185497,148,"Commercial accommodation","About average"
3185756,153,"Commercial accommodation","About average"
3185489,162,"Commercial accommodation","About average"
3185493,154,"Commercial accommodation","Don't know"
3185511,135,"Commercial accommodation","Don't know"
3185543,147,"Commercial accommodation","About average"
3185511,137,"Visitor transport","About average"
3185548,174,"Public infrastructure","Ahead of most other places"
3185556,140,"Visitor transport","Behind most other places"
3185485,139,"Activity and attractions","Amongst the best in the world"
3185756,156,"Public infrastructure","Amongst the best in the world"
3185493,157,"Public infrastructure","About average"
3185752,147,"Activity and attractions","Ahead of most other places"
3185756,155,"Visitor transport","Ahead of most other places"
3185543,149,"Visitor transport","Ahead of most other places"
3185570,151,"Commercial accommodation","Don't know"
3185511,136,"Activity and attractions","Ahead of most other places"
3185548,172,"Activity and attractions","Ahead of most other places"
3185551,135,"Commercial accommodation","About average"
3185511,138,"Public infrastructure","Amongst the best in the world"
3185493,155,"Activity and attractions","Ahead of most other places"
3185756,157,"Overall environmental management","About average"
3185548,173,"Visitor transport","Ahead of most other places"
3185509,133,"Commercial accommodation","Ahead of most other places"
3185556,141,"Public infrastructure","About average"
3185489,163,"Activity and attractions","Amongst the best in the world"
3185756,154,"Activity and attractions","Amongst the best in the world"
3185543,150,"Public infrastructure","Ahead of most other places"
3185497,152,"Overall environmental management","Don't know"
3185570,154,"Public infrastructure","About average"
3185788,123,"Commercial accommodation","Don't know"
3185780,140,"Visitor transport","Ahead of most other places"
3185497,151,"Public infrastructure","Amongst the best in the world"
3185551,138,"Public infrastructure","Ahead of most other places"
3185497,150,"Visitor transport","Don't know"
3185570,153,"Visitor transport","About average"
3185780,142,"Overall environmental management","Ahead of most other places"
3185551,139,"Overall environmental management","Amongst the best in the world"
3185561,172,"Commercial accommodation","About average"
3185586,145,"Commercial accommodation","About average"
3185540,152,"Activity and attractions","Don't know"
3185780,138,"Commercial accommodation","About average"
3185493,158,"Overall environmental management","Ahead of most other places"
3185556,142,"Overall environmental management","Amongst the best in the world"
3185543,151,"Overall environmental management","Don't know"
3185551,137,"Visitor transport","Don't know"
3185780,141,"Public infrastructure","Ahead of most other places"
3185509,135,"Visitor transport","Don't know"
3185570,155,"Overall environmental management","About average"
3185513,124,"Commercial accommodation","Behind most other places"
3185788,125,"Visitor transport","About average"
3185780,139,"Activity and attractions","Amongst the best in the world"
3185556,139,"Activity and attractions","Ahead of most other places"
3185509,136,"Public infrastructure","Ahead of most other places"
3185509,137,"Overall environmental management","Amongst the best in the world"
3185788,127,"Overall environmental management","Behind most other places"
3185497,149,"Activity and attractions","Ahead of most other places"
3185561,175,"Public infrastructure","About average"
3185509,134,"Activity and attractions","About average"
3185543,148,"Activity and attractions","Don't know"
3185590,128,"Commercial accommodation","Ahead of most other places"
3185586,148,"Public infrastructure","Amongst the best in the world"
3185586,146,"Activity and attractions","Amongst the best in the world"
3185521,154,"Activity and attractions","About average"
3185513,125,"Activity and attractions","Amongst the best in the world"
3185565,147,"Commercial accommodation","About average"
3185796,151,"Commercial accommodation","Amongst the best in the world"
3185569,143,"Commercial accommodation","Amongst the best in the world"
3185513,128,"Overall environmental management","About average"
3185565,150,"Public infrastructure","About average"
3185561,176,"Overall environmental management","Ahead of most other places"
3185565,149,"Visitor transport","About average"
3185551,136,"Activity and attractions","Ahead of most other places"
3185788,124,"Activity and attractions","Ahead of most other places"
3185561,173,"Activity and attractions","Ahead of most other places"
3185796,152,"Activity and attractions","Don't know"
3185586,147,"Visitor transport","Don't know"
3185513,127,"Public infrastructure","Behind most other places"
3185590,130,"Visitor transport","Ahead of most other places"
3185594,152,"Commercial accommodation","About average"
3185808,137,"Commercial accommodation","About average"
3185788,126,"Public infrastructure","Ahead of most other places"
3185529,143,"Commercial accommodation","About average"
3185561,174,"Visitor transport","About average"
3185570,152,"Activity and attractions","Behind most other places"
3185521,153,"Commercial accommodation","About average"
3185513,126,"Visitor transport","Don't know"
3185586,149,"Overall environmental management","Ahead of most other places"
3185565,148,"Activity and attractions","Behind most other places"
3185590,129,"Activity and attractions","Amongst the best in the world"
3185521,155,"Visitor transport","About average"
3185796,155,"Overall environmental management","Amongst the best in the world"
3185565,151,"Overall environmental management","Ahead of most other places"
3185594,153,"Activity and attractions","Amongst the best in the world"
3185569,144,"Activity and attractions","Ahead of most other places"
3185808,138,"Activity and attractions","Ahead of most other places"
3185590,131,"Public infrastructure","About average"
3185521,157,"Overall environmental management","About average"
3185796,153,"Visitor transport","About average"
3185521,156,"Public infrastructure","Ahead of most other places"
3185590,132,"Overall environmental management","Ahead of most other places"
3185569,145,"Visitor transport","About average"
3185529,145,"Visitor transport","Don't know"
3185816,155,"Activity and attractions","Ahead of most other places"
3185529,146,"Public infrastructure","Ahead of most other places"
3185537,141,"Visitor transport","Ahead of most other places"
3185581,149,"Public infrastructure","About average"
3185529,144,"Activity and attractions","About average"
3185796,154,"Public infrastructure","Behind most other places"
3185594,154,"Visitor transport","Don't know"
3185537,140,"Activity and attractions","Amongst the best in the world"
3185581,147,"Activity and attractions","About average"
3185569,146,"Public infrastructure","Ahead of most other places"
3185808,139,"Visitor transport","Ahead of most other places"
3185537,143,"Overall environmental management","Ahead of most other places"
3185593,158,"Activity and attractions","Don't know"
3185820,167,"Activity and attractions","Ahead of most other places"
3185594,155,"Public infrastructure","Ahead of most other places"
3185529,147,"Overall environmental management","Amongst the best in the world"
3185808,140,"Public infrastructure","Ahead of most other places"
3185537,142,"Public infrastructure","Amongst the best in the world"
3185581,150,"Overall environmental management","Ahead of most other places"
3185618,157,"Activity and attractions","Ahead of most other places"
3185537,139,"Commercial accommodation","Behind most other places"
3185816,154,"Commercial accommodation","Ahead of most other places"
3185593,160,"Public infrastructure","Ahead of most other places"
3185618,160,"Overall environmental management","Don't know"
3185593,157,"Commercial accommodation","Don't know"
3185820,166,"Commercial accommodation","Ahead of most other places"
3185816,157,"Public infrastructure","About average"
3185593,161,"Overall environmental management","Ahead of most other places"
3185618,159,"Public infrastructure","Ahead of most other places"
3185618,156,"Commercial accommodation","About average"
3185601,156,"Commercial accommodation","About average"
3185622,143,"Visitor transport","Don't know"
3185541,135,"Visitor transport","Amongst the best in the world"
3185569,147,"Overall environmental management","Amongst the best in the world"
3185808,141,"Overall environmental management","Amongst the best in the world"
3185581,148,"Visitor transport","Ahead of most other places"
3185816,156,"Visitor transport","About average"
3185601,157,"Activity and attractions","Ahead of most other places"
3185820,168,"Visitor transport","About average"
3185622,142,"Activity and attractions","Ahead of most other places"
3185549,135,"Activity and attractions","Amongst the best in the world"
3185581,146,"Commercial accommodation","Amongst the worst in the world"
3185594,156,"Overall environmental management","Ahead of most other places"
3185816,158,"Overall environmental management","About average"
3185593,159,"Visitor transport","Ahead of most other places"
3185618,158,"Visitor transport","Don't know"
3185541,134,"Activity and attractions","Behind most other places"
3185630,133,"Activity and attractions","Ahead of most other places"
3185622,141,"Commercial accommodation","About average"
3185824,159,"Activity and attractions","Amongst the best in the world"
3185630,132,"Commercial accommodation","Don't know"
3185820,169,"Public infrastructure","Amongst the best in the world"
3185549,134,"Commercial accommodation","Don't know"
3185541,133,"Commercial accommodation","Don't know"
3185630,135,"Public infrastructure","About average"
3185824,158,"Commercial accommodation","Ahead of most other places"
3185638,161,"Activity and attractions","Ahead of most other places"
3185541,136,"Public infrastructure","Ahead of most other places"
3185638,160,"Commercial accommodation","Behind most other places"
3185832,151,"Commercial accommodation","About average"
3185622,145,"Overall environmental management","About average"
3185622,144,"Public infrastructure","About average"
3185630,134,"Visitor transport","Ahead of most other places"
3185553,160,"Commercial accommodation","Ahead of most other places"
3185642,128,"Commercial accommodation","About average"
3185549,138,"Overall environmental management","Amongst the best in the world"
3185638,164,"Overall environmental management","About average"
3185824,161,"Public infrastructure","Ahead of most other places"
3185601,160,"Overall environmental management","About average"
3185553,163,"Public infrastructure","Don't know"
3185549,137,"Public infrastructure","Don't know"
3185638,162,"Visitor transport","Ahead of most other places"
3185553,162,"Visitor transport","About average"
3185642,132,"Overall environmental management","Amongst the best in the world"
3185617,134,"Visitor transport","Ahead of most other places"
3185650,169,"Commercial accommodation","About average"
3185638,163,"Public infrastructure","Ahead of most other places"
3185541,137,"Overall environmental management","Amongst the best in the world"
3185601,159,"Public infrastructure","Ahead of most other places"
3185824,162,"Overall environmental management","Ahead of most other places"
3185642,130,"Visitor transport","About average"
3185557,148,"Commercial accommodation","Ahead of most other places"
3185820,170,"Overall environmental management","Ahead of most other places"
3185630,136,"Overall environmental management","Ahead of most other places"
3185617,136,"Overall environmental management","About average"
3185549,136,"Visitor transport","About average"
3185832,154,"Public infrastructure","About average"
3185601,158,"Visitor transport","Ahead of most other places"
3185617,132,"Commercial accommodation","Don't know"
3185824,160,"Visitor transport","About average"
3185642,131,"Public infrastructure","Don't know"
3185553,164,"Overall environmental management","Amongst the best in the world"
3185553,161,"Activity and attractions","About average"
3185650,171,"Visitor transport","Don't know"
3185617,133,"Activity and attractions","About average"
3185629,143,"Commercial accommodation","About average"
3185557,150,"Visitor transport","Ahead of most other places"
3185650,173,"Overall environmental management","Ahead of most other places"
3185832,155,"Overall environmental management","About average"
3185557,151,"Public infrastructure","Ahead of most other places"
3185845,156,"Commercial accommodation","Ahead of most other places"
3185832,152,"Activity and attractions","Amongst the best in the world"
3185845,159,"Public infrastructure","Ahead of most other places"
3185617,135,"Public infrastructure","Ahead of most other places"
3185832,153,"Visitor transport","Behind most other places"
3185650,170,"Activity and attractions","Ahead of most other places"
3185650,172,"Public infrastructure","About average"
