"SurveyResponseID","AnswerNumber","TravelledWith"
3186123,37,"My husband, wife or partner"
3186124,38,"My husband, wife or partner"
3186124,39,"Other family / relative(s)"
3186127,40,"My husband, wife or partner"
3186129,44,"My husband, wife or partner"
3186129,45,"Other family / relative(s)"
3186129,46,"Other person(s)"
3186133,36,"My husband, wife or partner"
3186135,37,"My husband, wife or partner"
3186136,39,"My husband, wife or partner"
3186136,40,"Other family / relative(s)"
3186136,41,"Other person(s)"
3186138,37,"My husband, wife or partner"
3186138,38,"Child/children aged under 15"
3186138,39,"Other person(s)"
3186139,38,"Other family / relative(s)"
3186140,43,"My husband, wife or partner"
3186140,44,"Child/children aged under 15"
3186140,45,"Other family / relative(s)"
3186141,38,"Child/children aged 15 or older"
3186141,39,"Other family / relative(s)"
3186143,37,"My husband, wife or partner"
3186143,38,"Other family / relative(s)"
3186144,41,"My husband, wife or partner"
3186145,48,"My husband, wife or partner"
3186146,46,"My husband, wife or partner"
3186147,40,"My husband, wife or partner"
3186151,38,"Child/children aged 15 or older"
3186151,39,"Other person(s)"
3186154,41,"My husband, wife or partner"
3186156,41,"My husband, wife or partner"
3186156,42,"Other person(s)"
3186158,37,"My husband, wife or partner"
3186158,38,"Other person(s)"
3186161,37,"My husband, wife or partner"
3186161,38,"Other person(s)"
3186162,38,"My husband, wife or partner"
3186162,39,"Child/children aged 15 or older"
3186162,40,"Other person(s)"
3186163,39,"My husband, wife or partner"
3186166,39,"My husband, wife or partner"
3186166,40,"Other family / relative(s)"
3186167,41,"My husband, wife or partner"
3186167,42,"Other person(s)"
3186168,40,"My husband, wife or partner"
3186168,41,"Other family / relative(s)"
3186169,38,"My husband, wife or partner"
3186169,39,"Other person(s)"
3186170,36,"My husband, wife or partner"
3186171,39,"Child/children aged under 15"
3186172,41,"My husband, wife or partner"
3186173,45,"My husband, wife or partner"
3186174,43,"My husband, wife or partner"
3186175,38,"My husband, wife or partner"
3186175,39,"Other person(s)"
3186177,37,"Other family / relative(s)"
3186178,39,"Other family / relative(s)"
3186178,40,"Other person(s)"
3186179,42,"My husband, wife or partner"
3186179,43,"Child/children aged under 15"
3186180,39,"My husband, wife or partner"
3186180,40,"Other person(s)"
3186181,37,"My husband, wife or partner"
3186181,38,"Other person(s)"
3186182,41,"My husband, wife or partner"
3186182,42,"Child/children aged under 15"
3186182,43,"Child/children aged 15 or older"
3186184,37,"My husband, wife or partner"
3186184,38,"Child/children aged 15 or older"
3186184,39,"Other family / relative(s)"
3186185,45,"My husband, wife or partner"
3186186,41,"Other person(s)"
3186187,42,"My husband, wife or partner"
3186187,43,"Child/children aged 15 or older"
3186187,44,"Other family / relative(s)"
3186187,45,"Other person(s)"
3186188,36,"Child/children aged 15 or older"
3186188,37,"Other person(s)"
3186190,38,"My husband, wife or partner"
3186190,39,"Other family / relative(s)"
3186190,40,"Other person(s)"
3186191,42,"My husband, wife or partner"
3186191,43,"Other family / relative(s)"
3186192,40,"Other person(s)"
3186194,38,"My husband, wife or partner"
3186194,39,"Child/children aged under 15"
3186194,40,"Other family / relative(s)"
3186197,37,"My husband, wife or partner"
3186198,41,"My husband, wife or partner"
3186198,42,"Child/children aged under 15"
3186200,38,"Other person(s)"
3186201,45,"My husband, wife or partner"
3186201,46,"Other person(s)"
3186202,45,"My husband, wife or partner"
3186202,46,"Other family / relative(s)"
3186203,45,"Other person(s)"
3186204,41,"My husband, wife or partner"
3186204,42,"Other family / relative(s)"
3186205,39,"Other family / relative(s)"
3186208,39,"Other person(s)"
3186210,37,"Other person(s)"
3186213,37,"My husband, wife or partner"
3186214,37,"My husband, wife or partner"
3186216,51,"My husband, wife or partner"
3186219,39,"Child/children aged under 15"
3186219,40,"Child/children aged 15 or older"
3186220,37,"My husband, wife or partner"
3186222,39,"Other person(s)"
3186223,40,"My husband, wife or partner"
3186223,41,"Child/children aged under 15"
3186223,42,"Other family / relative(s)"
3186224,37,"My husband, wife or partner"
3186228,43,"My husband, wife or partner"
3186228,44,"Child/children aged under 15"
3186229,36,"Other family / relative(s)"
3186229,37,"Other person(s)"
3186231,37,"Child/children aged under 15"
3186231,38,"Other family / relative(s)"
3186233,41,"My husband, wife or partner"
3186238,36,"Other person(s)"
3186241,37,"Other person(s)"
3186242,38,"My husband, wife or partner"
3186243,37,"My husband, wife or partner"
3186245,37,"My husband, wife or partner"
3186247,36,"My husband, wife or partner"
3186250,37,"Other person(s)"
3186251,41,"My husband, wife or partner"
3186251,42,"Child/children aged under 15"
3186251,43,"Child/children aged 15 or older"
3186254,38,"Child/children aged under 15"
3186254,39,"Child/children aged 15 or older"
3186255,38,"My husband, wife or partner"
3186257,39,"My husband, wife or partner"
3186257,40,"Other person(s)"
3186260,38,"Child/children aged under 15"
3186261,40,"Other person(s)"
3186263,39,"My husband, wife or partner"
3186263,40,"Other family / relative(s)"
3186264,37,"My husband, wife or partner"
3186266,37,"My husband, wife or partner"
3186266,38,"Other person(s)"
3186270,42,"My husband, wife or partner"
3186272,40,"My husband, wife or partner"
3186272,41,"Child/children aged under 15"
3186275,36,"My husband, wife or partner"
3186276,36,"My husband, wife or partner"
3186276,37,"Child/children aged under 15"
3186276,38,"Child/children aged 15 or older"
3186277,38,"My husband, wife or partner"
3186278,42,"My husband, wife or partner"
3186280,39,"My husband, wife or partner"
3186281,39,"My husband, wife or partner"
3186281,40,"Child/children aged under 15"
3186282,36,"Other person(s)"
3186283,37,"Other person(s)"
3186287,37,"My husband, wife or partner"
3186288,40,"My husband, wife or partner"
3186294,37,"My husband, wife or partner"
3186296,38,"My husband, wife or partner"
3186298,38,"My husband, wife or partner"
3186298,39,"Other person(s)"
3186299,44,"My husband, wife or partner"
3186300,37,"My husband, wife or partner"
3186300,38,"Child/children aged 15 or older"
3186301,38,"My husband, wife or partner"
3186306,40,"Other family / relative(s)"
3186308,40,"Other person(s)"
3186309,40,"My husband, wife or partner"
3186310,37,"Other person(s)"
3186311,40,"My husband, wife or partner"
3186312,36,"Other person(s)"
3186313,37,"My husband, wife or partner"
3186314,38,"My husband, wife or partner"
3186317,37,"My husband, wife or partner"
3186318,38,"My husband, wife or partner"
3186319,36,"My husband, wife or partner"
3186319,37,"Child/children aged under 15"
3186319,38,"Child/children aged 15 or older"
3186322,44,"My husband, wife or partner"
3186325,40,"My husband, wife or partner"
3186325,41,"Child/children aged under 15"
3186325,42,"Child/children aged 15 or older"
3186325,43,"Other family / relative(s)"
3186327,37,"My husband, wife or partner"
3186327,38,"Child/children aged 15 or older"
3186331,39,"My husband, wife or partner"
3186331,40,"Child/children aged 15 or older"
3186333,38,"Child/children aged under 15"
3186333,39,"Other family / relative(s)"
3186334,38,"My husband, wife or partner"
3186336,47,"Other person(s)"
3186337,43,"My husband, wife or partner"
3186339,38,"My husband, wife or partner"
3186339,39,"Other family / relative(s)"
3186341,35,"My husband, wife or partner"
3186343,37,"My husband, wife or partner"
3186344,36,"Other person(s)"
3186345,36,"My husband, wife or partner"
3186346,36,"Other person(s)"
3186347,37,"Other family / relative(s)"
3186348,35,"Other person(s)"
3186349,36,"Other person(s)"
3186350,41,"My husband, wife or partner"
3186351,37,"Other person(s)"
3186352,38,"My husband, wife or partner"
3186352,39,"Other family / relative(s)"
3186353,48,"Child/children aged 15 or older"
3186353,49,"Other family / relative(s)"
3186354,41,"Other family / relative(s)"
3186356,40,"My husband, wife or partner"
3186357,39,"My husband, wife or partner"
3186358,39,"My husband, wife or partner"
3186358,40,"Child/children aged 15 or older"
3186360,39,"Other person(s)"
3186361,39,"Child/children aged 15 or older"
3186362,37,"Other person(s)"
3186364,38,"My husband, wife or partner"
3186365,37,"My husband, wife or partner"
3186366,37,"My husband, wife or partner"
3186366,38,"Child/children aged 15 or older"
3186368,39,"My husband, wife or partner"
3186368,40,"Child/children aged under 15"
3186368,41,"Other family / relative(s)"
3186370,43,"My husband, wife or partner"
3186370,44,"Other person(s)"
3186371,41,"My husband, wife or partner"
3186371,42,"Other family / relative(s)"
3186372,52,"My husband, wife or partner"
3186373,40,"My husband, wife or partner"
3186373,41,"Other person(s)"
3186374,37,"Other person(s)"
3186375,63,"Other person(s)"
3186376,37,"Other person(s)"
3186377,44,"My husband, wife or partner"
3186378,43,"My husband, wife or partner"
3186378,44,"Other person(s)"
3186379,51,"My husband, wife or partner"
3186380,42,"My husband, wife or partner"
3186380,43,"Other family / relative(s)"
3186382,41,"My husband, wife or partner"
3186382,42,"Other person(s)"
3186384,42,"My husband, wife or partner"
3186388,37,"My husband, wife or partner"
3186390,38,"Child/children aged under 15"
3186391,39,"My husband, wife or partner"
3186391,40,"Child/children aged under 15"
3186391,41,"Other family / relative(s)"
3186391,42,"Other person(s)"
3186392,45,"My husband, wife or partner"
3186395,37,"My husband, wife or partner"
3186395,38,"Other person(s)"
3186396,39,"My husband, wife or partner"
3186397,41,"Other person(s)"
3186399,39,"My husband, wife or partner"
3186400,37,"My husband, wife or partner"
3186402,40,"My husband, wife or partner"
3186404,47,"My husband, wife or partner"
3186407,38,"Other person(s)"
3186409,41,"Other family / relative(s)"
3186409,42,"Other person(s)"
3186410,38,"My husband, wife or partner"
3186411,40,"My husband, wife or partner"
3186411,41,"Child/children aged 15 or older"
3186412,39,"My husband, wife or partner"
3186412,40,"Child/children aged under 15"
3186412,41,"Child/children aged 15 or older"
3186412,42,"Other family / relative(s)"
3186413,42,"My husband, wife or partner"
3186413,43,"Child/children aged under 15"
3186413,44,"Other family / relative(s)"
3186415,41,"My husband, wife or partner"
3186415,42,"Child/children aged under 15"
3186415,43,"Child/children aged 15 or older"
3186417,42,"My husband, wife or partner"
3186417,43,"Other family / relative(s)"
3186418,42,"My husband, wife or partner"
3186418,43,"Child/children aged 15 or older"
3186419,41,"Other person(s)"
3186420,51,"My husband, wife or partner"
3186420,52,"Child/children aged 15 or older"
3186420,53,"Other family / relative(s)"
3186421,37,"Child/children aged under 15"
3186422,42,"My husband, wife or partner"
3186422,43,"Child/children aged under 15"
3186424,39,"Child/children aged under 15"
3186424,40,"Child/children aged 15 or older"
3186424,41,"Other family / relative(s)"
3186425,39,"My husband, wife or partner"
3186425,40,"Child/children aged under 15"
3186425,41,"Child/children aged 15 or older"
3186425,42,"Other family / relative(s)"
3186427,36,"My husband, wife or partner"
3186429,45,"Child/children aged 15 or older"
3186430,38,"My husband, wife or partner"
3186430,39,"Other person(s)"
3186431,41,"My husband, wife or partner"
3186432,38,"My husband, wife or partner"
3186432,39,"Other person(s)"
3186433,38,"Other person(s)"
3186434,44,"My husband, wife or partner"
3186434,45,"Child/children aged under 15"
3186434,46,"Other family / relative(s)"
3186435,38,"Other person(s)"
3186437,36,"My husband, wife or partner"
3186438,39,"My husband, wife or partner"
3186438,40,"Child/children aged under 15"
3186438,41,"Other family / relative(s)"
3186438,42,"Other person(s)"
3186440,44,"My husband, wife or partner"
3186440,45,"Child/children aged under 15"
3186440,46,"Other person(s)"
3186441,38,"Other person(s)"
3186442,38,"My husband, wife or partner"
3186443,39,"My husband, wife or partner"
3186443,40,"Child/children aged under 15"
3186445,37,"My husband, wife or partner"
3186445,38,"Other family / relative(s)"
3186446,47,"My husband, wife or partner"
3186446,48,"Child/children aged under 15"
3186446,49,"Other person(s)"
3186447,45,"My husband, wife or partner"
3186447,46,"Child/children aged under 15"
3186447,47,"Other family / relative(s)"
3186448,36,"My husband, wife or partner"
3186448,37,"Child/children aged under 15"
3186449,41,"Other family / relative(s)"
3186450,36,"Other family / relative(s)"
3186450,37,"Other person(s)"
3186451,49,"My husband, wife or partner"
3186454,39,"My husband, wife or partner"
3186455,39,"Child/children aged under 15"
3186457,43,"Other person(s)"
3186458,42,"Other person(s)"
3186460,41,"My husband, wife or partner"
3186460,42,"Child/children aged 15 or older"
3186461,41,"Other person(s)"
3186462,37,"Other person(s)"
3186463,43,"My husband, wife or partner"
3186464,42,"Other family / relative(s)"
3186465,36,"Other person(s)"
3186466,46,"My husband, wife or partner"
3186466,47,"Other family / relative(s)"
3186467,41,"My husband, wife or partner"
3186468,50,"My husband, wife or partner"
3186469,42,"My husband, wife or partner"
3186469,43,"Other person(s)"
3186470,41,"Other family / relative(s)"
3186471,39,"My husband, wife or partner"
3186472,39,"My husband, wife or partner"
3186473,40,"My husband, wife or partner"
3186473,41,"Child/children aged 15 or older"
3186474,36,"My husband, wife or partner"
3186474,37,"Child/children aged under 15"
3186474,38,"Other person(s)"
3186475,37,"Other person(s)"
3186476,39,"Other person(s)"
3186478,43,"My husband, wife or partner"
3186478,44,"Other family / relative(s)"
3186480,59,"My husband, wife or partner"
3186482,45,"My husband, wife or partner"
3186483,39,"My husband, wife or partner"
3186484,38,"My husband, wife or partner"
3186485,39,"Other person(s)"
3186486,37,"My husband, wife or partner"
3186487,38,"Other person(s)"
3186489,40,"My husband, wife or partner"
3186490,52,"My husband, wife or partner"
3186490,53,"Other person(s)"
3186493,40,"Other family / relative(s)"
3186495,38,"My husband, wife or partner"
3186495,39,"Child/children aged 15 or older"
3186496,47,"My husband, wife or partner"
3186498,40,"Other person(s)"
3186499,37,"Other person(s)"
3186501,39,"My husband, wife or partner"
3186502,37,"Other person(s)"
3186503,36,"My husband, wife or partner"
3186504,38,"Child/children aged under 15"
3186505,41,"Other person(s)"
3186508,41,"Other person(s)"
3186509,40,"My husband, wife or partner"
3186509,41,"Child/children aged under 15"
3186511,42,"Other person(s)"
3186514,38,"My husband, wife or partner"
3186516,39,"My husband, wife or partner"
3186516,40,"Other person(s)"
3186518,39,"My husband, wife or partner"
3186518,40,"Child/children aged under 15"
3186519,49,"Other family / relative(s)"
3186521,42,"Other person(s)"
3186522,40,"My husband, wife or partner"
3186522,41,"Child/children aged 15 or older"
3186523,36,"Other person(s)"
3186525,39,"My husband, wife or partner"
3186526,36,"Child/children aged 15 or older"
3186527,47,"My husband, wife or partner"
3186529,40,"My husband, wife or partner"
3186530,40,"My husband, wife or partner"
3186531,43,"My husband, wife or partner"
3186531,44,"Other family / relative(s)"
3186532,38,"Other person(s)"
3186533,40,"My husband, wife or partner"
3186533,41,"Child/children aged 15 or older"
3186534,41,"My husband, wife or partner"
3186536,39,"Other person(s)"
3186538,49,"Other person(s)"
3186539,40,"My husband, wife or partner"
3186540,45,"Other person(s)"
3186541,38,"Other family / relative(s)"
3186542,38,"My husband, wife or partner"
3186545,39,"Other person(s)"
3186546,51,"Other person(s)"
3186547,42,"Child/children aged 15 or older"
3186549,40,"My husband, wife or partner"
3186550,43,"My husband, wife or partner"
3186551,39,"My husband, wife or partner"
3186552,42,"My husband, wife or partner"
3186553,39,"Other person(s)"
3186554,50,"My husband, wife or partner"
3186554,51,"Other family / relative(s)"
3186555,47,"Other person(s)"
3186556,36,"Other family / relative(s)"
3186557,36,"My husband, wife or partner"
3186558,37,"Other person(s)"
3186559,46,"My husband, wife or partner"
3186559,47,"Other family / relative(s)"
3186564,38,"Other family / relative(s)"
3186565,42,"My husband, wife or partner"
3186565,43,"Other family / relative(s)"
3186567,41,"My husband, wife or partner"
3186569,40,"My husband, wife or partner"
3186569,41,"Child/children aged under 15"
3186570,36,"Other person(s)"
3186571,37,"Other person(s)"
3186572,44,"Other family / relative(s)"
3186572,45,"Other person(s)"
3186574,38,"Other person(s)"
3186575,36,"Other family / relative(s)"
3186579,40,"Other family / relative(s)"
3186580,42,"My husband, wife or partner"
3186581,40,"Other person(s)"
3186582,38,"Child/children aged under 15"
3186583,39,"My husband, wife or partner"
3186584,48,"My husband, wife or partner"
3186585,37,"My husband, wife or partner"
3186586,40,"Other family / relative(s)"
3186587,36,"My husband, wife or partner"
3186589,40,"Other person(s)"
3186590,40,"Other person(s)"
3186591,40,"My husband, wife or partner"
3186592,43,"My husband, wife or partner"
3186593,38,"My husband, wife or partner"
3186594,37,"My husband, wife or partner"
3186595,36,"My husband, wife or partner"
3186597,41,"My husband, wife or partner"
3186597,42,"Child/children aged under 15"
3186597,43,"Child/children aged 15 or older"
3186599,41,"Other family / relative(s)"
3186601,41,"My husband, wife or partner"
3186602,44,"Other family / relative(s)"
3186603,42,"Other family / relative(s)"
3186604,37,"Other person(s)"
3186605,42,"My husband, wife or partner"
3186605,43,"Other family / relative(s)"
3186606,47,"Child/children aged under 15"
3186606,48,"Other person(s)"
3186607,41,"Other person(s)"
3186608,40,"My husband, wife or partner"
3186608,41,"Child/children aged under 15"
3186609,44,"My husband, wife or partner"
3186609,45,"Other person(s)"
3186610,37,"My husband, wife or partner"
3186611,37,"Other person(s)"
3186613,41,"My husband, wife or partner"
3186613,42,"Child/children aged 15 or older"
3186613,43,"Other family / relative(s)"
3186613,44,"Other person(s)"
3186615,45,"Child/children aged under 15"
3186616,36,"Other family / relative(s)"
3186617,42,"My husband, wife or partner"
3186617,43,"Child/children aged under 15"
3186617,44,"Child/children aged 15 or older"
3186618,46,"My husband, wife or partner"
3186618,47,"Child/children aged 15 or older"
3186619,38,"Other person(s)"
3186620,51,"My husband, wife or partner"
3186621,51,"My husband, wife or partner"
3186622,40,"My husband, wife or partner"
3186624,40,"My husband, wife or partner"
3186624,41,"Other family / relative(s)"
3186626,36,"Other person(s)"
3186627,43,"My husband, wife or partner"
3186627,44,"Child/children aged under 15"
3186629,38,"My husband, wife or partner"
3186631,38,"My husband, wife or partner"
3186632,40,"My husband, wife or partner"
3186633,40,"Other person(s)"
3186634,37,"Other person(s)"
3186635,46,"My husband, wife or partner"
3186635,47,"Child/children aged under 15"
3186636,43,"My husband, wife or partner"
3186637,43,"My husband, wife or partner"
3186637,44,"Child/children aged under 15"
3186637,45,"Child/children aged 15 or older"
3186638,40,"My husband, wife or partner"
3186638,41,"Child/children aged under 15"
3186639,37,"Child/children aged 15 or older"
3186640,40,"My husband, wife or partner"
3186640,41,"Child/children aged under 15"
3186641,39,"My husband, wife or partner"
3186642,38,"Child/children aged under 15"
3186642,39,"Other family / relative(s)"
3186643,43,"My husband, wife or partner"
3186643,44,"Child/children aged under 15"
3186643,45,"Child/children aged 15 or older"
3186644,44,"My husband, wife or partner"
3186646,43,"My husband, wife or partner"
3186646,44,"Child/children aged under 15"
3186647,44,"My husband, wife or partner"
3186648,38,"My husband, wife or partner"
3186649,37,"My husband, wife or partner"
3186650,43,"Other person(s)"
3186652,39,"Child/children aged under 15"
3186653,36,"Other person(s)"
3186654,38,"Other person(s)"
3186655,43,"My husband, wife or partner"
3186655,44,"Other family / relative(s)"
3186656,49,"My husband, wife or partner"
3186657,44,"My husband, wife or partner"
3186658,50,"Other family / relative(s)"
3186659,41,"My husband, wife or partner"
3186661,45,"My husband, wife or partner"
3186662,37,"Other person(s)"
3186663,39,"Other person(s)"
3186665,38,"Child/children aged under 15"
3186667,51,"Other family / relative(s)"
3186667,52,"Other person(s)"
3186668,45,"My husband, wife or partner"
3186670,37,"My husband, wife or partner"
3186674,38,"Child/children aged under 15"
3186675,36,"My husband, wife or partner"
3186676,41,"My husband, wife or partner"
3186676,42,"Child/children aged under 15"
3186678,42,"My husband, wife or partner"
3186679,37,"Other person(s)"
3186680,37,"My husband, wife or partner"
3186681,40,"My husband, wife or partner"
3186681,41,"Child/children aged under 15"
3186681,42,"Child/children aged 15 or older"
3186681,43,"Other family / relative(s)"
3186682,42,"My husband, wife or partner"
3186682,43,"Child/children aged under 15"
3186683,37,"Other person(s)"
3186684,46,"My husband, wife or partner"
3186684,47,"Child/children aged under 15"
3186685,39,"Other person(s)"
3186686,49,"My husband, wife or partner"
3186687,36,"My husband, wife or partner"
3186688,41,"Other person(s)"
3186689,44,"My husband, wife or partner"
3186689,45,"Child/children aged under 15"
3186690,40,"Other family / relative(s)"
3186691,42,"My husband, wife or partner"
3186691,43,"Child/children aged under 15"
3186691,44,"Other family / relative(s)"
3186692,45,"My husband, wife or partner"
3186694,39,"My husband, wife or partner"
3186694,40,"Child/children aged 15 or older"
3186695,38,"My husband, wife or partner"
3186695,39,"Child/children aged under 15"
3186695,40,"Child/children aged 15 or older"
3186696,57,"My husband, wife or partner"
3186697,39,"Other person(s)"
3186698,42,"My husband, wife or partner"
3186698,43,"Child/children aged under 15"
3186698,44,"Child/children aged 15 or older"
3186698,45,"Other family / relative(s)"
3186700,42,"Other family / relative(s)"
3186701,41,"My husband, wife or partner"
3186701,42,"Child/children aged under 15"
3186702,38,"Child/children aged 15 or older"
3186703,38,"Child/children aged under 15"
3186704,42,"My husband, wife or partner"
3186704,43,"Child/children aged under 15"
3186704,44,"Child/children aged 15 or older"
3186705,38,"My husband, wife or partner"
3186705,39,"Child/children aged under 15"
3186705,40,"Other family / relative(s)"
3186706,39,"My husband, wife or partner"
3186706,40,"Child/children aged under 15"
3186706,41,"Child/children aged 15 or older"
3186707,37,"My husband, wife or partner"
3186708,39,"Child/children aged 15 or older"
3186709,45,"My husband, wife or partner"
3186709,46,"Child/children aged under 15"
3186709,47,"Child/children aged 15 or older"
3186710,39,"My husband, wife or partner"
3186711,42,"My husband, wife or partner"
3186712,37,"My husband, wife or partner"
3186713,42,"Other person(s)"
3186714,38,"My husband, wife or partner"
3186714,39,"Child/children aged under 15"
3186714,40,"Child/children aged 15 or older"
3186715,37,"My husband, wife or partner"
3186716,53,"My husband, wife or partner"
3186716,54,"Other family / relative(s)"
3186716,55,"Other person(s)"
3186717,41,"Other person(s)"
3186718,37,"My husband, wife or partner"
3186718,38,"Child/children aged 15 or older"
3186719,37,"Child/children aged under 15"
3186719,38,"Other family / relative(s)"
3186720,38,"My husband, wife or partner"
3186721,37,"My husband, wife or partner"
3186721,38,"Child/children aged under 15"
3186722,40,"Other person(s)"
3186724,42,"My husband, wife or partner"
3186724,43,"Other person(s)"
3186726,43,"Other person(s)"
3186727,56,"My husband, wife or partner"
3186727,57,"Other person(s)"
3186728,38,"My husband, wife or partner"
3186728,39,"Child/children aged under 15"
3186729,55,"My husband, wife or partner"
3186729,56,"Child/children aged under 15"
3186730,38,"My husband, wife or partner"
3186730,39,"Child/children aged under 15"
3186731,37,"My husband, wife or partner"
3186731,38,"Child/children aged 15 or older"
3186732,36,"Child/children aged under 15"
3186733,42,"Child/children aged 15 or older"
3186733,43,"Other person(s)"
3186734,38,"Other family / relative(s)"
3186734,39,"Other person(s)"
3186737,40,"Other family / relative(s)"
3186738,37,"My husband, wife or partner"
3186738,38,"Other person(s)"
3186740,37,"My husband, wife or partner"
3186740,38,"Child/children aged under 15"
3186741,37,"Child/children aged under 15"
3186742,38,"My husband, wife or partner"
3186744,47,"Child/children aged 15 or older"
3186745,37,"My husband, wife or partner"
3186746,47,"My husband, wife or partner"
3186747,39,"My husband, wife or partner"
3186748,40,"My husband, wife or partner"
3186748,41,"Other person(s)"
3186750,46,"My husband, wife or partner"
3186751,45,"Child/children aged under 15"
3186752,40,"My husband, wife or partner"
3186753,38,"My husband, wife or partner"
3186755,36,"Other person(s)"
3186756,39,"My husband, wife or partner"
3186756,40,"Child/children aged under 15"
3186757,37,"My husband, wife or partner"
3186758,39,"My husband, wife or partner"
3186758,40,"Child/children aged under 15"
3186758,41,"Other person(s)"
3186759,36,"My husband, wife or partner"
3186759,37,"Child/children aged under 15"
3186759,38,"Other family / relative(s)"
3186761,46,"Other person(s)"
3186762,39,"My husband, wife or partner"
3186762,40,"Child/children aged 15 or older"
3186763,46,"My husband, wife or partner"
3186764,39,"My husband, wife or partner"
3186765,43,"My husband, wife or partner"
3186765,44,"Child/children aged under 15"
3186765,45,"Child/children aged 15 or older"
3186766,49,"My husband, wife or partner"
3186766,50,"Other family / relative(s)"
3186767,43,"Child/children aged under 15"
3186767,44,"Child/children aged 15 or older"
3186767,45,"Other family / relative(s)"
3186767,46,"Other person(s)"
3186768,39,"My husband, wife or partner"
3186769,37,"My husband, wife or partner"
3186770,39,"Other family / relative(s)"
3186771,40,"Child/children aged under 15"
3186771,41,"Other family / relative(s)"
3186772,43,"Other person(s)"
3186775,47,"My husband, wife or partner"
3186777,38,"My husband, wife or partner"
3186777,39,"Other person(s)"
3186778,36,"Other person(s)"
3186779,36,"Other person(s)"
3186780,36,"Child/children aged 15 or older"
3186781,36,"My husband, wife or partner"
3186781,37,"Child/children aged under 15"
3186781,38,"Child/children aged 15 or older"
3186781,39,"Other person(s)"
3186782,39,"My husband, wife or partner"
3186782,40,"Child/children aged under 15"
3186782,41,"Other person(s)"
3186783,40,"My husband, wife or partner"
3186783,41,"Other person(s)"
3186784,40,"My husband, wife or partner"
3186784,41,"Child/children aged 15 or older"
3186784,42,"Other family / relative(s)"
3186786,37,"My husband, wife or partner"
3186786,38,"Child/children aged under 15"
3186787,43,"Other person(s)"
3186788,37,"My husband, wife or partner"
3186788,38,"Child/children aged under 15"
3186788,39,"Child/children aged 15 or older"
3186788,40,"Other family / relative(s)"
3186789,38,"Child/children aged 15 or older"
3186790,37,"My husband, wife or partner"
3186790,38,"Child/children aged under 15"
3186790,39,"Child/children aged 15 or older"
3186792,39,"My husband, wife or partner"
3186793,37,"Other family / relative(s)"
3186794,37,"Other person(s)"
3186795,37,"My husband, wife or partner"
3186796,37,"My husband, wife or partner"
3186796,38,"Child/children aged under 15"
3186797,39,"My husband, wife or partner"
3186797,40,"Other family / relative(s)"
3186799,37,"My husband, wife or partner"
3186800,36,"Other person(s)"
3186801,44,"My husband, wife or partner"
3186802,37,"My husband, wife or partner"
3186803,39,"My husband, wife or partner"
3186804,36,"Other person(s)"
3186805,35,"My husband, wife or partner"
3186805,36,"Other person(s)"
3186808,37,"My husband, wife or partner"
3186808,38,"Child/children aged 15 or older"
3186808,39,"Other family / relative(s)"
3186809,37,"Other person(s)"
3186810,38,"Other family / relative(s)"
3186810,39,"Other person(s)"
3186811,37,"Other person(s)"
3186813,37,"My husband, wife or partner"
3186814,37,"My husband, wife or partner"
3186814,38,"Child/children aged under 15"
3186814,39,"Other family / relative(s)"
3186814,40,"Other person(s)"
3186816,37,"My husband, wife or partner"
3186817,37,"My husband, wife or partner"
3186817,38,"Other family / relative(s)"
3186818,37,"My husband, wife or partner"
3186818,38,"Child/children aged under 15"
3186818,39,"Other person(s)"
3186819,37,"My husband, wife or partner"
3186819,38,"Other family / relative(s)"
3186819,39,"Other person(s)"
3186821,37,"Child/children aged 15 or older"
3186822,37,"My husband, wife or partner"
3186823,42,"My husband, wife or partner"
3186823,43,"Child/children aged 15 or older"
3186824,36,"My husband, wife or partner"
3186825,39,"Other person(s)"
3186826,36,"Other person(s)"
3186827,37,"My husband, wife or partner"
3186828,36,"My husband, wife or partner"
3186829,39,"My husband, wife or partner"
3186829,40,"Child/children aged under 15"
3186830,37,"Other person(s)"
3186832,37,"My husband, wife or partner"
3186833,37,"My husband, wife or partner"
3186834,37,"My husband, wife or partner"
3186834,38,"Child/children aged under 15"
3186834,39,"Other family / relative(s)"
3186836,38,"My husband, wife or partner"
3186836,39,"Child/children aged 15 or older"
3186836,40,"Other person(s)"
3186838,40,"Other person(s)"
3186839,37,"My husband, wife or partner"
3186840,38,"Other person(s)"
3186841,36,"My husband, wife or partner"
3186843,43,"My husband, wife or partner"
3186844,38,"My husband, wife or partner"
3186845,37,"Child/children aged 15 or older"
3186846,39,"Other person(s)"
3186847,38,"My husband, wife or partner"
3186847,39,"Child/children aged 15 or older"
3186848,38,"My husband, wife or partner"
3186848,39,"Child/children aged 15 or older"
3186849,39,"My husband, wife or partner"
3186849,40,"Other person(s)"
3186850,38,"My husband, wife or partner"
3186851,37,"My husband, wife or partner"
3186853,37,"My husband, wife or partner"
3186853,38,"Child/children aged 15 or older"
3186854,39,"My husband, wife or partner"
3186854,40,"Other family / relative(s)"
3186855,37,"My husband, wife or partner"
3186856,38,"My husband, wife or partner"
3186857,53,"My husband, wife or partner"
3186858,37,"My husband, wife or partner"
3186859,37,"Child/children aged 15 or older"
3186860,37,"Other family / relative(s)"
3186861,40,"My husband, wife or partner"
3186861,41,"Child/children aged under 15"
